Started training at (GMT) :  2023-01-23 12:16:23
============================================================================================
Episode: 100 		 Average Reward: -78.3800 		 Average Success: 0.0000
Episode: 200 		 Average Reward: -53.3400 		 Average Success: 0.0000
Episode: 300 		 Average Reward: -50.4200 		 Average Success: 0.0000
Episode: 400 		 Average Reward: -50.0600 		 Average Success: 0.0000
Episode: 500 		 Average Reward: -49.6900 		 Average Success: 0.0000
Episode: 600 		 Average Reward: -44.6000 		 Average Success: 0.0000
Episode: 700 		 Average Reward: -40.2500 		 Average Success: 0.0000
Episode: 800 		 Average Reward: -41.6100 		 Average Success: 0.0000
Episode: 900 		 Average Reward: -34.9600 		 Average Success: 0.0000
Episode: 1000 		 Average Reward: -34.6300 		 Average Success: 0.0000
Episode: 1100 		 Average Reward: -31.3100 		 Average Success: 0.0000
Episode: 1200 		 Average Reward: -32.4100 		 Average Success: 0.0000
Episode: 1300 		 Average Reward: -30.6300 		 Average Success: 0.0000
Episode: 1400 		 Average Reward: -30.6300 		 Average Success: 0.0000
Episode: 1500 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 1600 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 1700 		 Average Reward: -31.5600 		 Average Success: 0.0000
Episode: 1800 		 Average Reward: -30.5600 		 Average Success: 0.0000
Episode: 1900 		 Average Reward: -31.2100 		 Average Success: 0.0000
Episode: 2000 		 Average Reward: -30.5700 		 Average Success: 0.0000
Episode: 2100 		 Average Reward: -31.1800 		 Average Success: 0.0000
Episode: 2200 		 Average Reward: -31.3400 		 Average Success: 0.0000
Episode: 2300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 2400 		 Average Reward: -30.5500 		 Average Success: 0.0000
Episode: 2500 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 2600 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 2700 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 2800 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 2900 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3000 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3100 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3200 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3400 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3500 		 Average Reward: -30.5700 		 Average Success: 0.0000
Episode: 3600 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3700 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3800 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 3900 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 4000 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 4100 		 Average Reward: -30.5900 		 Average Success: 0.0000
Episode: 4200 		 Average Reward: -30.5900 		 Average Success: 0.0000
Episode: 4300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 4400 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 4500 		 Average Reward: -30.6100 		 Average Success: 0.0000
Episode: 4600 		 Average Reward: -30.6900 		 Average Success: 0.0000
Episode: 4700 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 4800 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 4900 		 Average Reward: -31.3400 		 Average Success: 0.0000
Episode: 5000 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 5100 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 5200 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 5300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 5400 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 5500 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 5600 		 Average Reward: -30.6700 		 Average Success: 0.0000
Episode: 5700 		 Average Reward: -31.1800 		 Average Success: 0.0000
Episode: 5800 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 5900 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6000 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6100 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6200 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6400 		 Average Reward: -30.5700 		 Average Success: 0.0000
Episode: 6500 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6600 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6700 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6800 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 6900 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 7000 		 Average Reward: -30.5700 		 Average Success: 0.0000
Episode: 7100 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 7200 		 Average Reward: -30.8500 		 Average Success: 0.0000
Episode: 7300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 7400 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 7500 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 7600 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 7700 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 7800 		 Average Reward: -30.6600 		 Average Success: 0.0000
Episode: 7900 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8000 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8100 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8200 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8400 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8500 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8600 		 Average Reward: -29.9000 		 Average Success: 0.0000
Episode: 8700 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 8800 		 Average Reward: -30.5700 		 Average Success: 0.0000
Episode: 8900 		 Average Reward: -30.6800 		 Average Success: 0.0000
Episode: 9000 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 9100 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 9200 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 9300 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 9400 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 9500 		 Average Reward: -30.0000 		 Average Success: 0.0000
Episode: 9600 		 Average Reward: -30.0000 		 Average Success: 0.0000
Traceback (most recent call last):
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/train.py", line 342, in <module>
    train(args)
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/train.py", line 125, in train
    total_loss, action_loss, value_loss, entropy = agent.update(buffer)
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/ppo.py", line 212, in update
    advantages = self.estimate_gae(
  File "/Users/skanda/Desktop/Stanford/Research/ca-exploration/src/ppo.py", line 150, in estimate_gae
    + (self.gamma * values[t + 1] * (1 - terminals[t]))
KeyboardInterrupt
