Started training at (GMT) :  2023-01-23 12:20:03
============================================================================================
Episode: 100 		 Average Reward: -69.5900 		 Average Success: 0.0000
Episode: 200 		 Average Reward: -51.5500 		 Average Success: 0.0000
Episode: 300 		 Average Reward: -50.5000 		 Average Success: 0.0000
Episode: 400 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 500 		 Average Reward: -50.5000 		 Average Success: 0.0000
Episode: 600 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 700 		 Average Reward: -51.5000 		 Average Success: 0.0000
Episode: 800 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 900 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1000 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1100 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1200 		 Average Reward: -50.5000 		 Average Success: 0.0000
Episode: 1300 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1400 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1500 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1600 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1700 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1800 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1900 		 Average Reward: -50.5000 		 Average Success: 0.0000
Episode: 2000 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 2100 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 2200 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 2300 		 Average Reward: -50.4200 		 Average Success: 0.0000
Episode: 2400 		 Average Reward: -51.7900 		 Average Success: 0.0000
Episode: 2500 		 Average Reward: -28.2500 		 Average Success: 0.0000
Episode: 2600 		 Average Reward: 1.5900 		 Average Success: 0.0000
Episode: 2700 		 Average Reward: 0.9100 		 Average Success: 0.0000
Episode: 2800 		 Average Reward: 3.3200 		 Average Success: 0.0000
Episode: 2900 		 Average Reward: 3.0800 		 Average Success: 0.0000
Episode: 3000 		 Average Reward: 3.3700 		 Average Success: 0.0000
Episode: 3100 		 Average Reward: 3.7600 		 Average Success: 0.0000
Episode: 3200 		 Average Reward: 2.8000 		 Average Success: 0.0000
Episode: 3300 		 Average Reward: 2.6200 		 Average Success: 0.0000
Episode: 3400 		 Average Reward: 2.0600 		 Average Success: 0.0000
Episode: 3500 		 Average Reward: 3.5600 		 Average Success: 0.0000
Episode: 3600 		 Average Reward: 3.7900 		 Average Success: 0.0000
Episode: 3700 		 Average Reward: 3.3500 		 Average Success: 0.0000
Episode: 3800 		 Average Reward: 3.3600 		 Average Success: 0.0000
Episode: 3900 		 Average Reward: 3.0800 		 Average Success: 0.0000
Episode: 4000 		 Average Reward: 3.3100 		 Average Success: 0.0000
Episode: 4100 		 Average Reward: 3.5400 		 Average Success: 0.0000
Episode: 4200 		 Average Reward: 2.2400 		 Average Success: 0.0000
Episode: 4300 		 Average Reward: 2.7200 		 Average Success: 0.0000
Episode: 4400 		 Average Reward: 3.8200 		 Average Success: 0.0000
Episode: 4500 		 Average Reward: 2.7500 		 Average Success: 0.0000
Episode: 4600 		 Average Reward: 3.2600 		 Average Success: 0.0000
Episode: 4700 		 Average Reward: 3.0200 		 Average Success: 0.0000
Episode: 4800 		 Average Reward: 2.7400 		 Average Success: 0.0000
Episode: 4900 		 Average Reward: 3.6200 		 Average Success: 0.0000
Episode: 5000 		 Average Reward: 3.5500 		 Average Success: 0.0000
Episode: 5100 		 Average Reward: 3.7800 		 Average Success: 0.0000
