Started training at (GMT) :  2023-01-23 12:28:58
============================================================================================
Episode: 100 		 Average Reward: -73.9300 		 Average Success: 0.0000
Episode: 200 		 Average Reward: -55.8200 		 Average Success: 0.0000
Episode: 300 		 Average Reward: -52.1400 		 Average Success: 0.0000
Episode: 400 		 Average Reward: -53.6000 		 Average Success: 0.0000
Episode: 500 		 Average Reward: -50.7100 		 Average Success: 0.0000
Episode: 600 		 Average Reward: -50.1500 		 Average Success: 0.0000
Episode: 700 		 Average Reward: -52.8900 		 Average Success: 0.0000
Episode: 800 		 Average Reward: -49.9600 		 Average Success: 0.0000
Episode: 900 		 Average Reward: -50.9000 		 Average Success: 0.0000
Episode: 1000 		 Average Reward: -51.7300 		 Average Success: 0.0000
Episode: 1100 		 Average Reward: -49.8800 		 Average Success: 0.0000
Episode: 1200 		 Average Reward: -50.5700 		 Average Success: 0.0000
Episode: 1300 		 Average Reward: -49.1700 		 Average Success: 0.0000
Episode: 1400 		 Average Reward: -51.0400 		 Average Success: 0.0000
Episode: 1500 		 Average Reward: -50.2700 		 Average Success: 0.0000
Episode: 1600 		 Average Reward: -50.0000 		 Average Success: 0.0000
Episode: 1700 		 Average Reward: -50.9300 		 Average Success: 0.0000
Episode: 1800 		 Average Reward: -50.3600 		 Average Success: 0.0000
Episode: 1900 		 Average Reward: -48.9200 		 Average Success: 0.0000
Episode: 2000 		 Average Reward: -52.8400 		 Average Success: 0.0000
Episode: 2100 		 Average Reward: -49.7000 		 Average Success: 0.0000
Episode: 2200 		 Average Reward: -48.8700 		 Average Success: 0.0000
Episode: 2300 		 Average Reward: -48.8200 		 Average Success: 0.0000
Episode: 2400 		 Average Reward: -49.5900 		 Average Success: 0.0000
Episode: 2500 		 Average Reward: -47.4100 		 Average Success: 0.0000
Episode: 2600 		 Average Reward: -44.3900 		 Average Success: 0.0000
Episode: 2700 		 Average Reward: -44.3500 		 Average Success: 0.0000
Episode: 2800 		 Average Reward: -46.7500 		 Average Success: 0.0000
Episode: 2900 		 Average Reward: -47.0900 		 Average Success: 0.0000
Episode: 3000 		 Average Reward: -47.2200 		 Average Success: 0.0000
Episode: 3100 		 Average Reward: -45.8900 		 Average Success: 0.0000
Episode: 3200 		 Average Reward: -45.4400 		 Average Success: 0.0000
Episode: 3300 		 Average Reward: -51.3900 		 Average Success: 0.0000
Episode: 3400 		 Average Reward: -46.6200 		 Average Success: 0.0000
Episode: 3500 		 Average Reward: -48.0800 		 Average Success: 0.0000
Episode: 3600 		 Average Reward: -51.0600 		 Average Success: 0.0000
Episode: 3700 		 Average Reward: -49.4400 		 Average Success: 0.0000
Episode: 3800 		 Average Reward: -47.6200 		 Average Success: 0.0000
Episode: 3900 		 Average Reward: -50.3300 		 Average Success: 0.0000
Episode: 4000 		 Average Reward: -49.1700 		 Average Success: 0.0000
Episode: 4100 		 Average Reward: -44.1200 		 Average Success: 0.0000
Episode: 4200 		 Average Reward: -46.6700 		 Average Success: 0.0000
Episode: 4300 		 Average Reward: -44.7800 		 Average Success: 0.0000
Episode: 4400 		 Average Reward: -42.5600 		 Average Success: 0.0000
Episode: 4500 		 Average Reward: -44.1700 		 Average Success: 0.0000
Episode: 4600 		 Average Reward: -46.5100 		 Average Success: 0.0000
Episode: 4700 		 Average Reward: -46.4900 		 Average Success: 0.0000
Episode: 4800 		 Average Reward: -46.2300 		 Average Success: 0.0000
Episode: 4900 		 Average Reward: -47.2600 		 Average Success: 0.0000
Episode: 5000 		 Average Reward: -44.3900 		 Average Success: 0.0000
Episode: 5100 		 Average Reward: -45.6200 		 Average Success: 0.0000
Episode: 5200 		 Average Reward: -47.3200 		 Average Success: 0.0000
Episode: 5300 		 Average Reward: -46.5100 		 Average Success: 0.0000
Episode: 5400 		 Average Reward: -45.2800 		 Average Success: 0.0000
Episode: 5500 		 Average Reward: -47.1900 		 Average Success: 0.0000
Episode: 5600 		 Average Reward: -45.6600 		 Average Success: 0.0000
Episode: 5700 		 Average Reward: -47.6500 		 Average Success: 0.0000
Episode: 5800 		 Average Reward: -48.5400 		 Average Success: 0.0000
Episode: 5900 		 Average Reward: -48.2400 		 Average Success: 0.0000
Episode: 6000 		 Average Reward: -44.6400 		 Average Success: 0.0000
Episode: 6100 		 Average Reward: -45.5300 		 Average Success: 0.0000
